Probe Set ID	Percentile
1552790_a_at	-59.0528
1552791_a_at	-60.276
1552792_at	-59.872
1552793_at	-22.004
1552794_a_at	-36.7167
1552796_a_at	-86.1996
1552797_s_at	-35.1923
1552798_a_at	98.0047
1552799_at	-85.0771
1552800_at	7.08811
1552801_at	-94.74
1552803_a_at	-28.3808
1552804_a_at	41.081
1552806_a_at	96.4879
1552807_a_at	95.5694
1552808_at	-90.6298
1552809_at	-89.3468
1552811_at	38.2001
1552812_a_at	-94.5113
1552813_at	-64.4217
1552814_a_at	17.8881
1552816_at	-74.2487
1552818_a_at	-55.5921
1552819_at	3.78725
1552822_at	-63.6061
1552825_at	-92.7526
1552826_at	-69.6261
1552827_s_at	-64.4286
1552828_at	85.5086
1552829_at	76.6658
1552830_at	-90.0207
1552833_at	36.1933
1552834_at	-90.5649
1552835_at	-52.8839
1552836_at	-74.0749
1552837_at	-74.8353
1552839_at	-52.6428
1552841_s_at	-64.8397
1552842_at	36.7716
1552843_at	-99.0857
1552845_at	69.0118
1552846_s_at	-55.5026
1552848_a_at	-32.5952
1552849_at	-67.3567
1552851_at	-60.2668
1552852_a_at	-76.4313
1552853_at	64.2657
1552854_a_at	48.4955
1552856_at	15.0368
1552857_a_at	-91.4427
1552858_at	-63.115
1552860_at	-95.6104
1552862_at	-40.1276
1552863_a_at	-68.0245
1552865_a_at	-78.2049
1552867_at	-65.677
1552868_at	36.6958
1552870_s_at	-60.9056
1552872_at	-98.2717
1552873_s_at	-75.0803
1552875_a_at	-95.3149
1552876_at	-81.5628
1552877_s_at	34.6613
1552878_at	-67.7158
1552879_a_at	-55.0656
1552880_at	-36.8331
1552882_a_at	-81.0184
1552884_at	19.3453
1552885_a_at	11.2092
1552887_at	13.7732
1552889_a_at	20.1413
1552890_a_at	10.2194
1552892_at	13.9139
1552893_at	-98.5494
1552895_a_at	-55.386
1552897_a_at	-44.6858
1552898_a_at	-97.4869
1552899_at	-18.6204
1552900_a_at	-69.7666
1552902_a_at	7.30902
1552903_at	-86.1766
1552904_at	-53.5249
1552906_at	-81.8263
1552908_at	-86.1052
1552910_at	-38.1901
1552911_at	28.8859
1552912_a_at	-64.6145
1552913_at	-77.1013
1552914_a_at	-81.0856
1552915_at	-71.4985
1552917_at	-81.7462
1552919_at	-50.9688
1552921_a_at	-16.7491
1552922_at	-67.3401
1552923_a_at	-65.9712
1552924_a_at	-36.8742
1552925_at	-45.8415
1552927_at	67.4723
1552928_s_at	69.7623
1552929_at	10.4749
1552930_at	-78.6575
1552931_a_at	-35.6069
1552932_at	97.8215
1552933_at	-64.7623
1552935_at	-72.6874
1552937_s_at	-37.7215
1552938_at	1.64077
1552939_at	-80.0839
1552940_at	-74.5919
1552942_at	-86.7474
1552943_at	-65.2953
1552944_a_at	91.7981
1552946_at	-42.419
1552947_x_at	-41.8126
1552948_at	10.5028
1552950_at	-53.7979
1552952_at	-73.8691
1552953_a_at	-82.5168
1552954_at	-60.4982
1552955_at	16.7701
1552957_at	-64.7379
1552960_at	29.3242
1552961_at	-93.6108
1552964_at	41.0804
1552965_a_at	18.4297
1552967_at	-62.3714
1552969_a_at	-53.3944
1552970_s_at	-60.8341
1552971_at	-62.7828
1552972_at	-73.962
1552973_at	65.0687
1552974_at	-66.9311
1552975_x_at	-73.1636
1552976_at	-64.7431
1552977_a_at	97.8452
1552978_a_at	-76.9702
1552979_at	-40.2578
1552980_at	-30.2892
1552982_a_at	3.22946
1552985_at	-58.4618
1552986_at	72.0157
1552987_a_at	-56.0857
1552988_at	-47.2183
1552990_at	60.7453
1552991_at	-47.5715
1552993_at	-83.3418
1552995_at	50.0905
1552997_a_at	81.8402
1552998_at	-56.4821
1552999_a_at	-63.4748
1553002_at	-85.1115
1553003_at	-73.6655
1553004_at	0.802739
1553006_at	-90.1942
1553007_a_at	45.9517
1553009_s_at	-83.7304
1553011_at	-89.1034
1553013_at	-48.5938
